lon_deg,lat_deg,z_horizon_elev_m,basement_depth_m
139.551411,-28.020650,-2206.6,2206.6
139.554416,-28.037847,-2191.1,2191.1
139.562191,-28.050976,-2213.3,2213.3
139.579069,-28.030388,-2257.4,2257.4
139.567939,-28.066856,-2216.4,2216.4
139.557344,-28.078363,-2150.5,2150.5
139.578124,-28.053872,-2271.3,2271.3
139.585042,-28.068186,-2255.0,2255.0
139.596298,-28.052506,-2271.6,2271.6
139.618501,-28.033902,-2418.5,2418.5
139.605248,-27.998144,-2457.5,2457.5
139.614384,-28.057245,-2314.8,2314.8
139.602703,-28.070816,-2299.9,2299.9
139.632948,-28.055964,-2425.0,2425.0
139.621615,-28.072724,-2349.2,2349.2
139.658043,-28.039428,-2626.0,2626.0
139.648785,-28.062174,-2524.4,2524.4
139.644234,-28.002967,-2589.4,2589.4
139.671476,-28.014032,-2653.2,2653.2
139.627464,-27.980329,-2563.9,2563.9
139.610576,-27.974459,-2541.3,2541.3
139.645160,-27.979534,-2623.4,2623.4
139.638800,-27.965145,-2639.2,2639.2
139.661569,-27.982507,-2657.7,2657.7
139.654823,-27.967868,-2670.0,2670.0
139.668643,-27.996949,-2646.2,2646.2
139.680827,-27.984781,-2718.6,2718.6
139.685877,-28.000855,-2679.8,2679.8
139.691998,-28.016109,-2703.4,2703.4
139.704412,-28.004316,-2736.4,2736.4
139.680872,-28.028183,-2647.3,2647.3
139.698062,-28.030139,-2755.4,2755.4
139.685046,-28.041434,-2692.8,2692.8
139.676761,-28.053150,-2670.7,2670.7
139.692783,-28.054652,-2690.6,2690.6
139.665021,-28.063177,-2628.2,2628.2
139.683021,-28.067206,-2626.1,2626.1
139.654601,-28.071914,-2544.6,2544.6
139.645714,-28.072399,-2457.2,2457.2
139.662716,-28.074160,-2606.9,2606.9
139.657058,-28.080173,-2567.8,2567.8
139.671572,-28.074239,-2622.3,2622.3
139.665479,-28.081259,-2619.2,2619.2
139.679522,-28.077093,-2614.2,2614.2
139.673812,-28.082550,-2612.1,2612.1
139.687300,-28.077545,-2607.8,2607.8
139.681948,-28.083952,-2610.1,2610.1
139.693195,-28.072551,-2628.2,2628.2
139.695925,-28.079290,-2648.8,2648.8
139.698018,-28.065459,-2680.0,2680.0
139.701634,-28.073315,-2730.7,2730.7
139.709859,-28.057567,-2765.6,2765.6
139.703859,-28.043428,-2770.7,2770.7
139.707402,-28.067657,-2780.2,2780.2
139.716749,-28.067604,-2846.7,2846.7
139.710535,-28.074447,-2838.5,2838.5
139.727475,-28.060035,-2896.4,2896.4
139.722204,-28.044596,-2832.4,2832.4
139.725445,-28.070295,-2892.7,2892.7
139.719395,-28.075761,-2884.1,2884.1
139.735129,-28.070872,-2920.6,2920.6
139.728191,-28.077263,-2925.5,2925.5
139.744403,-28.061573,-2934.2,2934.2
139.737827,-28.048127,-2881.9,2881.9
139.748425,-28.077122,-2949.1,2949.1
139.761116,-28.065018,-2956.4,2956.4
139.736397,-28.079036,-2948.6,2948.6
139.739484,-28.085451,-2918.9,2918.9
139.730557,-28.084469,-2870.5,2870.5
139.747168,-28.087600,-2936.7,2936.7
139.741312,-28.092915,-2851.8,2851.8
139.756672,-28.088140,-2953.6,2953.6
139.749826,-28.094387,-2885.0,2885.0
139.766361,-28.079424,-2975.2,2975.2
139.769913,-28.094099,-2988.4,2988.4
139.758094,-28.096284,-2909.4,2909.4
139.783439,-28.083529,-3052.7,3052.7
139.788271,-28.098566,-3066.1,3066.1
139.778160,-28.068750,-2993.2,2993.2
139.795292,-28.072643,-3079.5,3079.5
139.772888,-28.054935,-2986.4,2986.4
139.755869,-28.048505,-2940.2,2940.2
139.789278,-28.057056,-3046.3,3046.3
139.779587,-28.035527,-3016.3,3016.3
139.808747,-28.062496,-3103.6,3103.6
139.809411,-28.076240,-3158.9,3158.9
139.800407,-28.048086,-3067.7,3067.7
139.815508,-28.049985,-3086.3,3086.3
139.808563,-28.035412,-3075.0,3075.0
139.803414,-28.011045,-3037.0,3037.0
139.766763,-28.003713,-2967.0,2967.0
139.822978,-28.025673,-3060.5,3060.5
139.829165,-28.042309,-3062.5,3062.5
139.833428,-28.010889,-3088.7,3088.7
139.840224,-28.028794,-3130.1,3130.1
139.823399,-27.986763,-3028.8,3028.8
139.858756,-27.995438,-3061.0,3061.0
139.789418,-27.979986,-3013.4,3013.4
139.813888,-27.955849,-3001.2,3001.2
139.752117,-27.973079,-2960.1,2960.1
139.737431,-27.997072,-2913.3,2913.3
139.777651,-27.950010,-2981.2,2981.2
139.745484,-27.946738,-2941.9,2941.9
139.803210,-27.923659,-2970.0,2970.0
139.826713,-27.934320,-2996.7,2996.7
139.762397,-27.921169,-2957.6,2957.6
139.785941,-27.895780,-2941.5,2941.5
139.738568,-27.929273,-2964.6,2964.6
139.729288,-27.939177,-2923.3,2923.3
139.735263,-27.912404,-2961.0,2961.0
139.719806,-27.926960,-2960.6,2960.6
139.749903,-27.890360,-2929.0,2929.0
139.726049,-27.897033,-2940.7,2940.7
139.775043,-27.866500,-2917.3,2917.3
139.808606,-27.873241,-3047.9,3047.9
139.738661,-27.858720,-2840.0,2840.0
139.765944,-27.835601,-2923.6,2923.6
139.723630,-27.880371,-2915.6,2915.6
139.712443,-27.865593,-2834.1,2834.1
139.706945,-27.892480,-2919.2,2919.2
139.713646,-27.909642,-2954.4,2954.4
139.706286,-27.878190,-2860.2,2860.2
139.698298,-27.883797,-2919.5,2919.5
139.699524,-27.870301,-2865.0,2865.0
139.696037,-27.876951,-2924.4,2924.4
139.696253,-27.860062,-2860.0,2860.0
139.685911,-27.870853,-2895.0,2895.0
139.708584,-27.845949,-2847.7,2847.7
139.673702,-27.847537,-2895.3,2895.3
139.731960,-27.825793,-2838.1,2838.1
139.695880,-27.817421,-2842.3,2842.3
139.757700,-27.804395,-2926.2,2926.2
139.791353,-27.813252,-2962.7,2962.7
139.722713,-27.791700,-2831.5,2831.5
139.751602,-27.776632,-2879.0,2879.0
