lon_deg,lat_deg,elev_m,obs_gravity_um,spherical_bouguer_mgal,infinite_slab_bouguer_mgal
139.790744,-27.950177,22.79,9791407.31,-189.92,-219.46
139.792414,-27.957337,24.15,9791407.61,-192.35,-221.83
140.093911,-27.944674,47.75,9791392.60,-150.62,-180.94
140.102071,-27.944834,38.88,9791401.40,-159.23,-189.71
140.107911,-27.944674,33.27,9791405.01,-166.44,-197.02
140.116571,-27.945004,33.27,9791394.00,-177.67,-208.28
140.124240,-27.945004,33.15,9791383.09,-188.79,-219.42
140.128240,-27.945174,33.29,9791377.29,-194.44,-225.07
140.140570,-27.945174,34.80,9791358.28,-210.47,-241.11
140.150070,-27.945504,47.68,9791316.46,-227.38,-257.84
140.157410,-27.945673,46.12,9791313.26,-233.73,-264.23
140.164570,-27.946003,46.41,9791306.95,-239.70,-270.21
140.173570,-27.945833,34.81,9791327.46,-241.68,-272.40
140.181910,-27.945833,34.71,9791321.56,-247.75,-278.50
140.191740,-27.946173,34.81,9791314.76,-254.59,-285.36
140.179570,-27.938503,40.42,9791304.15,-248.51,-279.20
140.175740,-27.931673,39.00,9791311.66,-238.64,-269.38
140.170570,-27.925833,34.49,9791324.06,-230.66,-261.48
140.167070,-27.919833,34.05,9791327.36,-223.70,-254.57
140.163070,-27.913503,33.88,9791330.47,-216.18,-247.07
140.158910,-27.907173,42.63,9791313.86,-210.96,-241.73
140.154410,-27.900503,32.57,9791341.27,-198.18,-229.13
140.150240,-27.894673,32.21,9791345.97,-189.81,-220.79
140.146070,-27.887833,32.21,9791350.18,-180.49,-211.48
140.141240,-27.882333,35.68,9791347.18,-172.61,-203.54
140.136740,-27.875333,34.92,9791351.58,-164.45,-195.41
140.131740,-27.869334,31.90,9791361.68,-155.75,-186.77
140.127739,-27.862504,31.98,9791363.08,-149.07,-180.12
140.121909,-27.857004,32.05,9791363.08,-144.81,-175.88
140.116909,-27.850834,32.01,9791362.28,-141.06,-172.16
140.111909,-27.845334,32.07,9791360.98,-138.12,-169.24
140.107239,-27.839004,32.10,9791359.38,-134.92,-166.06
140.101909,-27.833334,31.99,9791357.08,-133.19,-164.35
140.097239,-27.827174,32.19,9791354.38,-130.89,-162.06
140.093069,-27.820174,32.05,9791352.48,-127.82,-159.02
140.087909,-27.815004,32.18,9791350.38,-125.80,-157.01
140.083069,-27.809334,32.13,9791345.77,-126.26,-157.49
140.078569,-27.803174,31.87,9791340.77,-127.16,-158.41
140.073409,-27.797004,31.95,9791333.77,-129.39,-160.66
140.068909,-27.791174,31.81,9791329.07,-130.01,-161.30
140.064069,-27.784674,31.54,9791321.76,-132.99,-164.29
140.058909,-27.777834,30.99,9791317.36,-133.36,-164.69
140.054239,-27.772674,30.37,9791313.96,-134.12,-165.47
140.049739,-27.766674,30.44,9791309.25,-134.21,-165.56
140.045739,-27.760174,30.50,9791303.65,-134.84,-166.21
140.040409,-27.754174,30.27,9791299.55,-134.92,-166.30
140.036409,-27.747834,30.07,9791295.75,-134.38,-165.78
140.031069,-27.741834,29.98,9791291.05,-134.78,-166.19
140.026239,-27.736504,30.35,9791285.44,-135.69,-167.11
140.021739,-27.730174,30.23,9791281.14,-135.51,-166.94
140.016909,-27.723334,29.56,9791275.64,-137.22,-168.67
140.012239,-27.717834,29.43,9791271.63,-137.38,-168.84
140.007069,-27.711504,29.31,9791266.13,-138.40,-169.87
140.002239,-27.705504,29.25,9791261.33,-138.85,-170.33
139.997409,-27.698334,29.24,9791255.73,-139.13,-170.63
139.992569,-27.692674,29.19,9791249.12,-141.62,-173.12
139.987739,-27.686334,28.78,9791243.82,-143.01,-174.52
139.984239,-27.682004,28.41,9791241.72,-142.61,-174.13
139.975409,-27.681004,34.28,9791226.61,-145.55,-176.95
139.968909,-27.682835,45.07,9791201.80,-150.70,-181.89
139.961069,-27.684505,35.39,9791219.51,-153.16,-184.47
139.952909,-27.685175,27.64,9791238.42,-149.92,-181.31
139.945410,-27.685675,27.60,9791238.22,-150.60,-181.96
139.936910,-27.686675,30.53,9791229.51,-154.37,-185.64
139.929240,-27.687335,31.40,9791226.61,-156.10,-187.32
139.920740,-27.688175,54.53,9791170.88,-167.34,-198.16
139.920070,-27.694835,46.72,9791196.50,-161.96,-192.86
139.915910,-27.700175,29.54,9791241.32,-154.67,-185.81
139.915410,-27.707175,26.14,9791254.03,-153.84,-185.00
139.915570,-27.715175,25.93,9791260.33,-153.93,-185.05
139.915740,-27.723335,26.00,9791266.43,-153.79,-184.88
139.915740,-27.730505,25.99,9791273.04,-152.57,-183.63
139.918410,-27.738175,25.64,9791279.64,-152.38,-183.42
139.920571,-27.745005,25.62,9791285.34,-151.82,-182.84
139.922241,-27.751505,27.12,9791287.94,-151.16,-182.12
139.923741,-27.758505,33.11,9791278.14,-154.51,-185.35
139.924411,-27.764835,33.03,9791285.24,-152.30,-183.11
139.924411,-27.771675,29.83,9791298.95,-149.96,-180.79
139.925741,-27.777335,29.81,9791304.95,-148.23,-179.04
139.926741,-27.784335,31.69,9791305.95,-148.80,-179.56
139.923911,-27.790505,42.86,9791283.54,-154.05,-184.58
139.922741,-27.796505,34.22,9791309.46,-149.50,-180.14
139.925911,-27.802835,32.18,9791317.76,-149.92,-180.56
139.927571,-27.809175,26.42,9791334.97,-148.71,-179.41
139.926911,-27.816505,26.00,9791339.77,-150.24,-180.90
139.927411,-27.824335,24.07,9791349.08,-150.59,-181.23
139.928241,-27.831675,24.01,9791351.48,-153.82,-184.42
139.927571,-27.838835,24.33,9791354.48,-155.58,-186.12
139.930412,-27.844675,26.81,9791351.68,-157.92,-188.40
139.933242,-27.850835,24.01,9791361.88,-157.80,-188.30
139.932742,-27.859005,24.01,9791364.58,-161.24,-191.69
139.933072,-27.865505,23.95,9791366.79,-164.03,-194.46
139.933072,-27.873675,24.77,9791368.79,-166.56,-196.94
139.932242,-27.881005,27.44,9791364.58,-171.04,-201.36
139.934072,-27.887675,25.03,9791374.59,-170.72,-201.07
139.934742,-27.895005,25.11,9791377.99,-172.66,-202.99
140.030911,-27.937005,34.86,9791446.03,-116.77,-147.14
140.033411,-27.929675,31.13,9791445.93,-118.63,-149.10
140.035571,-27.922005,30.88,9791437.12,-122.15,-152.67
140.038241,-27.915674,30.79,9791429.92,-124.75,-155.32
140.041071,-27.908674,30.00,9791423.22,-127.73,-158.35
140.044071,-27.901504,33.76,9791404.81,-133.40,-164.00
139.793914,-27.964007,24.77,9791410.71,-193.05,-222.50
139.794415,-27.970837,22.51,9791420.91,-192.39,-221.85
139.795915,-27.977837,23.26,9791423.42,-193.69,-223.11
139.797575,-27.985507,22.65,9791428.32,-195.75,-225.15
139.799745,-27.993177,25.94,9791424.52,-198.90,-228.21
139.800075,-28.001337,25.00,9791430.82,-200.57,-229.87
139.801915,-28.007507,24.97,9791434.62,-201.48,-230.74
139.802415,-28.014337,24.33,9791439.72,-202.77,-232.01
139.803745,-28.021337,23.72,9791444.83,-204.13,-233.35
139.804745,-28.027837,21.97,9791452.13,-205.14,-234.36
139.805745,-28.035177,21.87,9791455.83,-207.16,-236.35
139.806245,-28.042177,21.84,9791457.63,-210.70,-239.86
139.807245,-28.049677,22.29,9791459.83,-213.27,-242.39
139.808075,-28.057337,22.77,9791462.64,-215.31,-244.38
139.809415,-28.063337,22.04,9791467.74,-216.16,-245.22
139.810575,-28.071177,22.23,9791470.14,-219.29,-248.32
139.811416,-28.077837,21.72,9791475.94,-219.51,-248.51
139.811576,-28.085337,21.42,9791481.25,-220.44,-249.42
139.812576,-28.092337,20.73,9791486.95,-221.36,-250.33
139.813916,-28.100007,20.91,9791491.35,-222.39,-251.33
139.814576,-28.107007,20.88,9791498.96,-220.12,-249.03
139.814746,-28.113507,21.23,9791505.66,-217.64,-246.52
139.814746,-28.118837,21.46,9791511.06,-215.81,-244.67
139.822746,-28.121507,25.01,9791502.76,-219.17,-247.99
139.830576,-28.123507,26.63,9791501.66,-218.59,-247.40
139.838416,-28.126337,27.92,9791503.96,-215.88,-244.69
139.846746,-28.128837,23.25,9791522.87,-207.94,-236.84
139.853246,-28.131007,32.01,9791510.46,-204.86,-233.64
139.861246,-28.132837,27.44,9791530.77,-194.82,-223.70
139.870416,-28.134837,21.49,9791555.59,-183.10,-212.10
139.877575,-28.137176,35.62,9791529.07,-183.78,-212.56
139.884415,-28.139836,29.57,9791549.68,-176.96,-205.85
139.891915,-28.141676,37.91,9791533.07,-178.65,-207.43
139.891075,-28.135006,40.85,9791520.97,-179.98,-208.75
139.891245,-28.128006,32.94,9791531.67,-179.43,-208.35
139.891575,-28.121336,40.56,9791503.66,-187.54,-216.36
139.893415,-28.114506,35.68,9791504.46,-191.10,-220.04
139.890245,-28.108676,28.75,9791509.76,-194.93,-224.00
139.890415,-28.101336,29.37,9791497.55,-200.39,-229.48
139.890575,-28.094836,34.23,9791477.34,-206.21,-235.25
139.889415,-28.088176,26.20,9791486.15,-208.06,-237.25
139.889415,-28.080006,32.54,9791460.33,-215.34,-244.46
139.889245,-28.074006,27.33,9791471.74,-209.57,-238.80
139.888415,-28.066176,23.90,9791473.34,-208.76,-238.08
139.888244,-28.059006,23.28,9791469.24,-208.67,-238.03
139.888074,-28.051006,23.72,9791463.74,-207.28,-236.67
139.887914,-28.044176,26.07,9791452.73,-208.54,-237.93
139.887914,-28.036006,30.64,9791436.92,-209.27,-238.63
139.889574,-28.029176,23.92,9791447.03,-207.12,-236.63
139.888574,-28.021336,27.32,9791433.42,-208.19,-237.67
139.888074,-28.014506,24.72,9791434.32,-207.21,-236.78
139.887574,-28.007176,31.09,9791413.51,-210.07,-239.57
139.886744,-28.000176,32.34,9791406.41,-209.46,-238.97
139.886914,-27.992336,36.96,9791391.50,-209.45,-238.92
139.886074,-27.985676,22.15,9791399.10,-225.73,-255.47
139.884744,-27.978336,28.00,9791401.50,-206.40,-236.07
139.885413,-27.971676,35.58,9791380.49,-207.60,-237.18
139.884243,-27.965676,37.02,9791373.89,-206.88,-236.46
139.884243,-27.958336,26.43,9791394.20,-201.71,-231.50
139.884073,-27.950676,33.37,9791375.69,-200.91,-230.63
139.883413,-27.942676,24.40,9791391.90,-196.20,-226.09
139.883913,-27.936006,29.53,9791377.99,-195.07,-224.92
139.883243,-27.928676,25.78,9791384.09,-190.77,-220.72
139.881743,-27.921676,25.65,9791379.59,-190.27,-220.24
139.880743,-27.914836,25.07,9791378.79,-187.06,-217.07
139.880913,-27.907506,24.94,9791375.69,-184.90,-214.96
139.879413,-27.900836,24.53,9791372.99,-183.40,-213.48
139.877573,-27.893336,23.63,9791371.09,-181.43,-211.56
139.876073,-27.887006,24.66,9791366.29,-179.48,-209.61
139.874243,-27.879506,27.76,9791355.88,-178.23,-208.31
139.872073,-27.872836,35.88,9791331.87,-181.40,-211.37
139.871242,-27.865836,33.84,9791332.97,-179.04,-209.06
139.871412,-27.859176,22.61,9791356.28,-172.64,-202.88
139.870242,-27.852836,22.88,9791352.68,-170.96,-201.22
139.890415,-28.149006,29.56,9791558.39,-175.18,-204.06
139.891076,-28.156336,29.92,9791565.39,-173.01,-201.85
139.891746,-28.163176,28.40,9791577.20,-169.34,-198.17
139.889916,-28.170506,32.89,9791574.40,-168.92,-197.65
139.888916,-28.177336,25.21,9791599.41,-164.06,-192.88
139.886576,-28.185507,25.76,9791606.51,-162.07,-190.84
139.885246,-28.192177,24.39,9791615.52,-160.79,-189.54
139.884416,-28.199507,26.11,9791617.52,-160.98,-189.67
139.884246,-28.206837,23.22,9791627.22,-162.46,-191.16
139.884246,-28.214007,23.15,9791628.52,-166.72,-195.39
